,Open,High,Low,Close,Adj Close,Volume
2010-01-01,50.29071235468931,50.64486657781259,49.90192747329618,50.49671415301123,50.53487811814022,6442464
2010-01-04,50.759601053107005,51.081497140552806,49.861173891087006,50.38584711211402,50.3673700685128,5689323
2010-01-05,50.55453830874282,52.026009117695594,50.30298339183206,51.06093291048868,51.14271855558099,2982667
2010-01-06,52.10736930094163,53.32954768440141,52.07500245846167,52.61136002717068,52.76636718893428,2926479
2010-01-07,52.368833901724784,52.75216890528692,51.96184182669802,52.40460391272131,52.53630050561161,1468259
2010-01-08,51.92509350705403,52.720447640858424,51.78227820653164,52.19786421604611,52.428715102952694,5976581
2010-01-11,54.00876050091063,54.499332221718895,53.776015058009186,53.804474291827475,53.74973168764878,6137532
2010-01-12,54.67090161511053,55.156842083740614,54.23288247264803,54.59930628125436,54.43899547937207,7108006
2010-01-13,53.69958518581405,54.287155534657614,53.10005820896273,54.15722915559338,54.18480203067911,1579443
2010-01-14,54.35791837677985,55.068754202632554,53.771041681395815,54.727186459453314,54.51415712103409,5860772
2010-01-15,54.16960731359296,55.16242634919732,53.93351964045524,54.29116602691482,54.176530839718836,3699053
2010-01-18,53.51421129346945,54.78062958640327,53.21974457160123,53.852833533618536,53.695522974287584,1625451
2010-01-19,54.4385073513701,54.27081264302906,53.20504190454641,54.122193065458546,54.066211080563725,9336688
2010-01-20,52.14862645706131,53.23129347538287,51.775299219368776,52.23631008107472,52.03322396564906,9617469
2010-01-21,50.127840282782714,50.87115545021957,50.52063813491372,50.53878950883566,50.30218799354459,1542039
2010-01-22,49.9882409211252,50.6662646290021,49.92938296736676,50.003899239868666,50.08230235595802,9237625
2010-01-25,48.617335690680605,49.75553167758316,48.518092020977456,49.01846537980821,49.072507737062786,2343110
2010-01-26,48.99379606445274,50.16166508135,48.40307728877335,49.360109972677456,49.462956172644034,3460509
2010-01-27,48.227011542179234,49.39647229263435,47.80735435089883,48.47948315743022,48.55723767472836,8834957
2010-01-28,47.433212818297655,47.3893129895828,47.02778135600617,47.0945767163689,46.91293042908038,9449011
2010-01-29,49.000241016245084,49.421878500332085,48.40361084964953,48.587622745564424,48.48611294061141,5084110
2010-02-01,48.70499100085994,48.51668829861542,47.6427688342979,48.38924370535186,48.20997443375306,6716555
2010-02-02,48.32327660511531,49.167835621826534,47.66823901694682,48.484169170313756,48.65045648993047,1650228
2010-02-03,46.8725227830069,47.78556565419425,46.50511279016636,47.08681824437428,47.20307731981025,6960524
2010-02-04,46.61561622612893,47.20106194040204,45.96961919513713,46.56983278012307,46.43083440448827,1453192
2010-02-05,46.91539965577996,46.94385573423143,46.6816808309538,46.70815263010691,46.634031107945056,1957527
2010-02-08,46.034359905861955,46.380502002933724,44.829192627460905,45.584556312958576,45.797260686871965,5049510
2010-02-09,45.64878763681332,46.14295967521356,45.26263307894544,45.98765159157822,46.03095326902078,9829533
2010-02-10,45.00503740154143,45.46312601035493,45.17913159632009,45.41441016193339,45.551178200117356,6559548
2010-02-11,45.325617482034865,45.797986190056186,44.51017698314536,45.15011367241408,45.0438262570171,9997945
2010-02-12,44.87198895077228,44.99969856928555,44.38425798259166,44.57580432045866,44.4465580775249,7860718
2010-02-15,46.777275739937586,47.24438488293951,46.418008625628424,46.45547976524157,46.587374736671975,7178434
2010-02-16,46.63524160963083,46.825704348024985,46.282445992988656,46.46937980077761,46.555753577944145,1498909
2010-02-17,45.85166721506345,45.591994570332034,45.27673154521687,45.43906613209568,45.52130081303471,3772296
2010-02-18,46.29919629629493,47.063369896341825,45.97632790795927,46.289008304472844,46.31337233042679,4143027
2010-02-19,45.468786131968216,45.59062968036063,44.718157610614135,45.09556191477579,45.12423292570698,4836056
2010-02-22,45.755958307730126,45.50335457264411,44.870762872033445,45.33182277005452,45.43866874543339,7369134
2010-02-23,43.70087945406077,44.02483673241791,42.985731834184385,43.39954990644872,43.29973201845932,2360855
2010-02-24,41.93858254182252,42.52910613724089,41.870859806280386,42.09876111782426,42.036778465975274,5086239
2010-02-25,42.06587819488863,42.834546617974,42.29832779840309,42.323019613967354,42.48030751724727,6268038
2010-02-26,43.130352251672974,43.486075349821434,42.56742038866581,43.088883454236736,43.006525603460375,5265891
2010-03-01,43.24697137583032,44.00510626792263,42.945031729974765,43.28764899570068,43.307695320410765,5160344
2010-03-02,43.52577663283095,43.916130171563246,42.941348825774135,43.19939797358642,43.28693700209421,6196368
2010-03-03,42.58231319601412,43.534711653197725,42.18141066254291,42.9256915382711,43.14028772736075,5253621
2010-03-04,41.273614287936034,41.56199633754771,40.85514970402095,41.47456680817764,41.447729168227994,8327065
2010-03-05,40.98749775477687,41.46632463488177,40.08248991194586,40.78211986005691,40.75279461081417,8172114
2010-03-08,40.02204165753747,40.89037077181852,39.94943833799339,40.34887834937109,40.48710891782786,3040696
2010-03-09,41.284871049060314,42.01099942728933,41.324899302693645,41.43339783586398,41.559978155353214,6968597
2010-03-10,41.710065334600124,42.10789907994964,41.22231081123433,41.80441338570641,41.90101330254139,4772142
2010-03-11,40.16701414457853,40.7734035052726,39.903628030768914,40.06877049061765,40.05403705842251,3105490
2010-03-12,40.14388442998698,41.006645773731215,40.0635594344635,40.420251720286416,40.349087469474426,9653229
